사고일시,선박종류,사고유형,기상상태,해상상태,발생해역,인명피해수,풍속(m/s)
2024-07-09,어선,충돌,안개,거침,서해,0,7.4
2024-05-25,화물선,화재/폭발,맑음,보통,제주 인근,4,3.0
2024-02-13,어선,침수,맑음,보통,제주 인근,3,2.4
2024-06-10,어선,좌초,강풍,매우 거침,남해,2,24.7
2024-07-08,유조선,충돌,안개,매우 거침,동해,1,11.8
2024-01-14,유조선,기관고장,안개,거침,서해,1,10.8
2024-04-04,어선,침수,폭우/폭설,매우 거침,서해,2,17.6
2024-02-17,화물선,충돌,맑음,거침,서해,3,7.0
2024-01-15,화물선,기관고장,맑음,보통,서해,3,23.8
2024-07-18,여객선,충돌,흐림,보통,제주 인근,4,20.1
2024-07-08,어선,화재/폭발,폭우/폭설,잔잔함,제주 인근,4,4.1
2024-02-09,화물선,충돌,흐림,보통,동해,0,11.6
2024-03-22,레저보트,충돌,흐림,매우 거침,서해,1,22.2
2024-04-20,화물선,충돌,흐림,보통,서해,4,23.7
2024-02-22,레저보트,침수,강풍,거침,남해,3,12.8
2024-01-24,화물선,충돌,강풍,보통,제주 인근,2,16.1
2024-06-02,어선,기관고장,흐림,잔잔함,서해,3,5.8
2024-07-06,여객선,화재/폭발,폭우/폭설,보통,동해,1,24.8
2024-05-03,여객선,화재/폭발,맑음,거침,동해,3,7.3
2024-02-10,레저보트,충돌,폭우/폭설,거침,제주 인근,0,23.7
2024-06-05,어선,침수,안개,매우 거침,동해,1,16.9
2024-01-15,화물선,침수,강풍,보통,동해,2,16.0
2024-02-14,화물선,기관고장,맑음,거침,제주 인근,0,13.8
2024-03-05,유조선,충돌,맑음,잔잔함,서해,1,7.3
2024-03-29,어선,화재/폭발,안개,매우 거침,서해,2,6.1
2024-03-11,레저보트,침수,안개,잔잔함,동해,0,7.1
2024-01-09,화물선,충돌,흐림,보통,동해,0,6.3
2024-03-28,어선,침수,강풍,보통,서해,1,19.9
2024-05-08,레저보트,침수,강풍,보통,제주 인근,4,10.1
2024-05-15,유조선,화재/폭발,폭우/폭설,매우 거침,동해,0,3.3
2024-03-03,레저보트,좌초,흐림,거침,남해,0,24.3
2024-05-18,어선,기관고장,흐림,매우 거침,제주 인근,2,22.3
2024-03-21,화물선,기관고장,흐림,잔잔함,동해,3,23.3
2024-05-15,화물선,화재/폭발,흐림,매우 거침,동해,1,24.9
2024-06-11,레저보트,침수,강풍,잔잔함,남해,1,6.0
2024-06-11,어선,충돌,강풍,매우 거침,남해,4,11.1
2024-02-02,어선,침수,흐림,거침,서해,4,19.4
2024-05-02,어선,화재/폭발,폭우/폭설,잔잔함,제주 인근,1,18.0
2024-01-05,어선,기관고장,맑음,보통,제주 인근,4,5.5
2024-02-10,화물선,침수,맑음,보통,서해,2,20.8
2024-01-28,어선,기관고장,폭우/폭설,매우 거침,제주 인근,1,7.2
2024-05-14,어선,충돌,흐림,보통,제주 인근,4,7.1
2024-03-12,레저보트,기관고장,강풍,잔잔함,제주 인근,1,14.4
2024-01-12,레저보트,기관고장,맑음,보통,제주 인근,3,15.6
2024-06-10,어선,좌초,안개,거침,제주 인근,0,15.3
2024-02-02,어선,좌초,안개,거침,남해,1,4.1
2024-02-17,여객선,좌초,폭우/폭설,매우 거침,제주 인근,0,22.2
2024-05-30,어선,기관고장,흐림,잔잔함,남해,4,8.1
2024-03-02,어선,화재/폭발,맑음,거침,제주 인근,0,5.0
2024-02-06,어선,기관고장,흐림,거침,서해,1,22.4
2024-04-08,어선,화재/폭발,맑음,잔잔함,동해,3,24.0
2024-06-20,레저보트,화재/폭발,폭우/폭설,보통,남해,4,21.8
2024-04-13,어선,좌초,폭우/폭설,보통,제주 인근,1,20.6
2024-02-04,유조선,침수,안개,매우 거침,서해,4,17.1
2024-07-11,화물선,충돌,흐림,보통,동해,2,14.7
2024-04-10,어선,좌초,안개,잔잔함,남해,0,4.0
2024-06-23,화물선,좌초,흐림,거침,동해,2,11.4
2024-05-10,어선,침수,안개,보통,서해,1,10.6
2024-01-01,여객선,충돌,강풍,매우 거침,남해,3,8.0
2024-01-05,어선,기관고장,강풍,보통,동해,4,18.6
2024-05-21,어선,기관고장,강풍,잔잔함,제주 인근,0,13.4
2024-04-12,여객선,좌초,강풍,매우 거침,남해,4,3.9
2024-01-27,어선,충돌,맑음,보통,동해,1,7.1
2024-05-16,어선,좌초,강풍,매우 거침,서해,4,17.7
2024-01-15,어선,화재/폭발,폭우/폭설,잔잔함,서해,0,3.8
2024-03-30,어선,좌초,폭우/폭설,거침,남해,1,21.6
2024-02-11,레저보트,좌초,맑음,잔잔함,동해,4,13.4
2024-05-03,어선,기관고장,강풍,잔잔함,남해,3,13.1
2024-06-27,화물선,기관고장,강풍,잔잔함,남해,1,15.6
2024-03-03,화물선,기관고장,강풍,잔잔함,동해,1,21.0
2024-04-05,여객선,화재/폭발,안개,거침,동해,3,10.0
2024-02-21,어선,기관고장,흐림,거침,제주 인근,2,17.6
2024-04-05,어선,충돌,안개,매우 거침,동해,0,15.0
2024-05-11,레저보트,침수,흐림,보통,서해,2,8.1
2024-05-30,레저보트,충돌,강풍,거침,남해,4,22.2
2024-05-22,레저보트,충돌,강풍,거침,남해,3,20.3
2024-06-19,어선,기관고장,안개,보통,서해,2,17.1
2024-01-29,어선,침수,안개,거침,동해,1,21.6
2024-02-05,어선,침수,흐림,잔잔함,서해,4,21.9
2024-01-13,화물선,침수,폭우/폭설,잔잔함,서해,4,18.3
2024-06-08,어선,화재/폭발,흐림,보통,제주 인근,2,21.3
2024-03-11,레저보트,기관고장,안개,매우 거침,서해,2,18.0
2024-07-05,어선,침수,안개,매우 거침,남해,3,17.6
2024-03-26,레저보트,화재/폭발,맑음,보통,서해,0,16.2
2024-01-28,화물선,좌초,안개,보통,남해,2,19.3
2024-03-06,레저보트,좌초,맑음,잔잔함,남해,2,5.6
2024-06-18,어선,화재/폭발,폭우/폭설,매우 거침,남해,1,22.3
2024-02-14,화물선,화재/폭발,흐림,거침,동해,4,22.1
2024-03-02,여객선,기관고장,흐림,잔잔함,제주 인근,0,2.7
2024-07-03,어선,기관고장,맑음,보통,남해,1,21.0
2024-05-13,어선,좌초,흐림,매우 거침,남해,3,5.0
2024-01-28,레저보트,침수,안개,거침,동해,3,9.7
2024-01-28,유조선,좌초,강풍,거침,남해,2,19.1
2024-04-17,어선,침수,맑음,잔잔함,서해,2,5.7
2024-02-13,어선,침수,흐림,매우 거침,서해,3,20.8
2024-03-24,화물선,기관고장,맑음,매우 거침,제주 인근,2,21.1
2024-01-30,유조선,충돌,맑음,보통,남해,0,13.7
2024-07-08,어선,충돌,강풍,매우 거침,동해,2,2.1
2024-03-15,어선,화재/폭발,안개,매우 거침,서해,4,8.6
2024-05-07,어선,기관고장,맑음,잔잔함,동해,2,16.2
2024-04-01,화물선,침수,흐림,매우 거침,동해,1,24.6
2024-07-08,여객선,충돌,폭우/폭설,거침,서해,0,16.5
2024-05-08,어선,침수,맑음,잔잔함,동해,1,8.0
2024-04-30,레저보트,충돌,맑음,잔잔함,서해,1,16.6
2024-01-27,화물선,충돌,강풍,보통,동해,4,14.4
2024-07-08,어선,충돌,안개,매우 거침,서해,0,19.9
2024-04-30,어선,기관고장,폭우/폭설,보통,남해,0,4.5
2024-04-25,어선,좌초,흐림,거침,제주 인근,0,19.5
2024-01-03,레저보트,침수,폭우/폭설,잔잔함,서해,0,14.4
2024-04-12,여객선,기관고장,흐림,잔잔함,서해,0,24.1
2024-07-16,화물선,기관고장,안개,잔잔함,제주 인근,4,9.9
2024-07-18,여객선,기관고장,흐림,거침,서해,2,16.6
2024-06-03,화물선,기관고장,강풍,거침,서해,1,23.4
2024-05-16,유조선,기관고장,강풍,보통,동해,0,4.4
2024-03-02,어선,화재/폭발,강풍,보통,제주 인근,2,23.6
2024-06-13,화물선,침수,강풍,보통,남해,2,17.8
2024-02-20,어선,기관고장,폭우/폭설,매우 거침,서해,1,3.6
2024-06-20,어선,침수,안개,잔잔함,제주 인근,4,8.9
2024-05-31,어선,화재/폭발,흐림,잔잔함,동해,3,18.3
2024-02-28,어선,화재/폭발,흐림,보통,남해,3,3.5
2024-04-27,어선,침수,강풍,잔잔함,제주 인근,2,15.4
